127.0.0.1 - - [15/Apr/2022:21:56:37 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [15/Apr/2022:21:56:39 +0530] "GET /BusinessTripRequest/ HTTP/1.1" 200 52
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:06:56 +0530] "GET /BusinessTripRequest/ HTTP/1.1" 200 232
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:06:58 +0530] "GET /BusinessTripRequest/login.jsp HTTP/1.1" 200 727
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:06:58 +0530] "GET /BusinessTripRequest/css/login_style.css HTTP/1.1" 200 1557
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:07:53 +0530] "GET /BusinessTripRequest/user_dashboard.jsp HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:07:53 +0530] "GET /BusinessTripRequest/css/style.css HTTP/1.1" 200 223042
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:07:53 +0530] "GET /BusinessTripRequest/js/jquery.min.js HTTP/1.1" 200 69916
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:07:53 +0530] "GET /BusinessTripRequest/js/popper.js HTTP/1.1" 200 21003
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:07:53 +0530] "GET /BusinessTripRequest/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:07:53 +0530] "GET /BusinessTripRequest/js/main.js HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:08:03 +0530] "GET /BusinessTripRequest/admin_dashboard.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:29:02 +0530] "GET /BusinessTripRequest/ HTTP/1.1" 200 239
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:29:02 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:29:50 +0530] "GET /BusinessTripRequest/login.jsp HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:29:50 +0530] "GET /BusinessTripRequest/css/login_style.css HTTP/1.1" 200 1557
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:30:04 +0530] "GET /BusinessTripRequest/user_dashboard.jsp HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:30:04 +0530] "GET /BusinessTripRequest/css/style.css HTTP/1.1" 200 223042
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:30:04 +0530] "GET /BusinessTripRequest/js/jquery.min.js HTTP/1.1" 200 69916
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:30:04 +0530] "GET /BusinessTripRequest/js/popper.js HTTP/1.1" 200 21003
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:30:04 +0530] "GET /BusinessTripRequest/js/bootstrap.min.js HTTP/1.1" 200 58072
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:30:04 +0530] "GET /BusinessTripRequest/js/main.js HTTP/1.1" 200 348
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:30:41 +0530] "GET /BusinessTripRequest/admin_dashboard.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:38:08 +0530] "GET /BusinessTripRequest/login.jsp HTTP/1.1" 200 728
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:38:10 +0530] "GET /BusinessTripRequest/user_dashboard.jsp HTTP/1.1" 200 1908
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:38:15 +0530] "GET /BusinessTripRequest/admin_dashboard.jsp HTTP/1.1" 200 1857
0:0:0:0:0:0:0:1 - - [15/Apr/2022:22:44:05 +0530] "GET /BusinessTripRequest/admin_dashboard.jsp HTTP/1.1" 200 1857
