127.0.0.1 - - [21/Apr/2022:15:39:00 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [21/Apr/2022:15:39:05 +0530] "GET /BusinessTripRequest/ HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [21/Apr/2022:15:39:17 +0530] "GET /BusinessTripRequest/ HTTP/1.1" 200 1399
0:0:0:0:0:0:0:1 - - [21/Apr/2022:15:39:28 +0530] "POST /BusinessTripRequest/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:15:39:31 +0530] "GET /BusinessTripRequest/user/user-personal-detail.jsp HTTP/1.1" 200 13521
0:0:0:0:0:0:0:1 - - [21/Apr/2022:15:39:45 +0530] "GET /BusinessTripRequest/user/user-pending-request.jsp HTTP/1.1" 200 13931
0:0:0:0:0:0:0:1 - - [21/Apr/2022:15:40:36 +0530] "GET /BusinessTripRequest/user/user-approved-request.jsp HTTP/1.1" 200 11954
0:0:0:0:0:0:0:1 - - [21/Apr/2022:15:43:21 +0530] "GET /BusinessTripRequest/user/user-approved-request.jsp HTTP/1.1" 200 11879
0:0:0:0:0:0:0:1 - - [21/Apr/2022:15:57:36 +0530] "GET /BusinessTripRequest/user/user-approved-request.jsp HTTP/1.1" 200 8028
0:0:0:0:0:0:0:1 - - [21/Apr/2022:15:57:53 +0530] "GET /BusinessTripRequest/user/user-rejected-request.jsp HTTP/1.1" 200 14010
0:0:0:0:0:0:0:1 - - [21/Apr/2022:15:59:06 +0530] "GET /BusinessTripRequest/user/user-rejected-request.jsp HTTP/1.1" 200 14006
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:03:43 +0530] "GET /BusinessTripRequest/user/user-pending-request.jsp HTTP/1.1" 200 14006
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:05:14 +0530] "GET /BusinessTripRequest/user/user-pending-request.jsp HTTP/1.1" 200 14006
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:09:55 +0530] "GET /BusinessTripRequest/index.jsp HTTP/1.1" 200 1446
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:11:33 +0530] "GET /BusinessTripRequest/index.jsp HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:11:34 +0530] "GET /BusinessTripRequest/index.jsp HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:11:34 +0530] "GET /BusinessTripRequest/index.jsp HTTP/1.1" 200 1591
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:15:04 +0530] "POST /BusinessTripRequest/login.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:15:06 +0530] "GET /BusinessTripRequest/user/user-personal-detail.jsp HTTP/1.1" 200 13586
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:15:13 +0530] "GET /BusinessTripRequest/user/user-rejected-request.jsp HTTP/1.1" 200 14006
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:15:21 +0530] "GET /BusinessTripRequest/user/user-pending-request.jsp HTTP/1.1" 500 61601
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:15:55 +0530] "GET /BusinessTripRequest/user/user-pending-request.jsp HTTP/1.1" 200 7196
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:17:52 +0530] "GET /BusinessTripRequest/user/user-pending-request.jsp HTTP/1.1" 200 7198
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:18:38 +0530] "GET /BusinessTripRequest/user/user-pending-request.jsp HTTP/1.1" 200 6874
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:19:24 +0530] "GET /BusinessTripRequest/user/user-rejected-request.jsp HTTP/1.1" 200 14006
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:21:03 +0530] "GET /BusinessTripRequest/user/user-rejected-request.jsp HTTP/1.1" 200 12269
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:21:18 +0530] "GET /BusinessTripRequest/user/user-rejected-request.jsp HTTP/1.1" 200 12261
0:0:0:0:0:0:0:1 - - [21/Apr/2022:16:22:31 +0530] "GET /BusinessTripRequest/index.jsp HTTP/1.1" 200 1400
